"","version","version_season","season_name","season","episode","day","tribe_status","tribe","castaway","immunity","vote","vote_event","vote_event_outcome","split_vote","nullified","tie","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id","sog_id","challenge_id"
"1","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Sonja",NA,"Rudy",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0001","US0014","US0001",1,1
"2","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Stacey",NA,"Rudy",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0003","US0014","US0001",1,1
"3","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Dirk",NA,"Sonja",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0005","US0001","US0001",1,1
"4","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Sean",NA,"Sonja",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0012","US0001","US0001",1,1
"5","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Sue",NA,"Sonja",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0013","US0001","US0001",1,1
"6","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Rudy",NA,"Sonja",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0014","US0001","US0001",1,1
"7","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Kelly",NA,"Rudy",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0015","US0014","US0001",1,1
"8","US","US01","Survivor: Borneo",1,1,3,"Original","Tagi","Richard",NA,"Stacey",NA,NA,NA,FALSE,FALSE,"Sonja",1,1,"US0016","US0003","US0001",1,1
"9","US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","B.B.",NA,"Ramona",NA,NA,NA,FALSE,FALSE,"B.B.",2,1,"US0002","US0004","US0002",2,3
"10","US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Ramona",NA,"B.B.",NA,NA,NA,FALSE,FALSE,"B.B.",2,1,"US0004","US0002","US0002",2,3
"11","US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Joel",NA,"B.B.",NA,NA,NA,FALSE,FALSE,"B.B.",2,1,"US0006","US0002","US0002",2,3
"12","US","US01","Survivor: Borneo",1,2,6,"Original","Pagong","Gretchen",NA,"B.B.",NA,NA,NA,FALSE,FALSE,"B.B.",2,1,"US0007","US0002","US0002",2,3
